r (A),g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
5.000599805801802,0.045000542611970167,1.4033180717620515,0.38635689778771937,0.8612714010868021,0.20968683240267208,1.0910277211777712,0.1548778791618348,1.2087744682862802,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.006269420094094,0.045003952594855394,1.403424410271089,0.3870810968161604,0.8628857941918885,0.20905077178120665,1.0877182154619536,0.15470845558385904,1.2074521690884148,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.011939034386387,0.04493147580197731,1.4011642598967662,0.38780529584460144,0.8645001872969751,0.20841471115974117,1.0844087097461357,0.1545326339486898,1.2060799350113787,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.017608648678679,0.044858999009099225,1.3989041095224435,0.3885294948730424,0.8661145804020615,0.2079308155059855,1.081890938046523,0.15435681231352055,1.2047077009343428,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.023278262970972,0.044786522216221133,1.3966439591481206,0.39009455493666956,0.8696034309480294,0.20746540527411775,1.079469348388893,0.15418099067835128,1.2033354668573066,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.028947877263263,0.04471404542334305,1.3943838087737979,0.39233419211921616,0.8745960568469925,0.20699999504225006,1.0770477587312635,0.154005169043182,1.2019632327802705,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.034617491555556,0.04464156863046496,1.392123658399475,0.3945738293017631,0.8795886827459564,0.2065345848103823,1.0746261690736336,0.15382934740801274,1.2005909987032344,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.040287105847848,0.04456909183758688,1.3898635080251522,0.3968134664843097,0.8845813086449195,0.20606917457851462,1.072204579416004,0.15365352577284352,1.1992187646261985,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.045956720140141,0.04449661504470879,1.3876033576508293,0.39905310366685665,0.8895739345438833,0.2056037643466469,1.0697829897583742,0.15355653354971469,1.1984617699954936,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.051626334432433,0.04443094084967063,1.3855553426848728,0.4012927408494032,0.8945665604428463,0.2051383541147792,1.0673614001007445,0.15352550620615144,1.1982196110705332,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.057295948724725,0.04436622943041758,1.3835373513715188,0.40353237803195013,0.8995591863418102,0.20471476902563027,1.065157432072597,0.1534944788625882,1.1979774521455728,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.062965563017017,0.044301518011164547,1.3815193600581652,0.40577201521449674,0.9045518122407733,0.20432692717881046,1.0631394407592434,0.153463451519025,1.1977352932206125,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.06863517730931,0.044236806591911496,1.3795013687448112,0.4072663360772893,0.9078829701171826,0.20393908533199054,1.0611214494458894,0.15343242417546177,1.197493134295652,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.074304791601602,0.044172095172658465,1.3774833774314577,0.40852112871314356,0.9106801688154426,0.2035512434851707,1.0591034581325358,0.15340139683189855,1.1972509753706917,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.0799744058938945,0.044107383753405414,1.3754653861181037,0.40977592134899804,0.9134773675137031,0.20316340163835084,1.057085466819182,0.15337036948833532,1.1970088164457313,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.085644020186186,0.044042672334152384,1.37344739480475,0.4110307139848523,0.9162745662119631,0.20277555979153097,1.0550674755058282,0.15328772599852042,1.1963638092891318,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.091313634478479,0.043968474723420255,1.371133581637656,0.41228550662070673,0.9190717649102236,0.20238771794471108,1.0530494841924745,0.15298779495846299,1.1940229392731554,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.096983248770771,0.04388564410485735,1.3685505526967197,0.41354029925656094,0.9218689636084836,0.20199408234787622,1.051001347248117,0.1526878639184056,1.1916820692571792,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.102652863063064,0.043802813486294424,1.3659675237557827,0.4147950918924154,0.924666162306744,0.20157521313135332,1.0488219165154475,0.15238793287834818,1.1893411992412026,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.1083224773553555,0.04371998286773151,1.3633844948148461,0.4159821194175288,0.9273122982125269,0.20115634391483048,1.0466424857827783,0.15208800183829077,1.1870003292252265,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
5.113992091647648,0.04363715224916859,1.3608014658739094,0.41693716036242634,0.9294412868689147,0.20073747469830752,1.0444630550501086,0.15178807079823337,1.18465945920925,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
