r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
1.3377927720320322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3456621412792795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3535315105265266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.361400879773774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3692702490210211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3771396182682685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3850089875155156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.392878356762763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.40074772601001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4086170952572574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4164864645045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.424355833751752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4322252029989992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4400945722462464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4479639414934937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4558333107407408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4637026799879882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4715720492352353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4794414184824827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4873107877297298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.4951801569769771,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5030495262242243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.5109188954714716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.518788264718719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.526657633965966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
